delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.95;0.1;0.1;264;673;48;6;-1.0;{Add penalty+complete=0.7692307692307693, Send Appeal to Prefecture+complete=0.11538461538461539, Insert Fine Notification+complete=0.07692307692307693, Insert Date Appeal to Prefecture+complete=0.038461538461538464};NONALIGNING_ALL;{}
0.01;0.95;0.1;0.1;268;845;50;4;-1.0;{Add penalty+complete=0.9047619047619048, Payment+complete=0.047619047619047616, Send Appeal to Prefecture+complete=0.047619047619047616};NONALIGNING_ALL;{}
0.01;0.95;0.1;0.1;80;537;53;5;-1.0;{Add penalty+complete=0.9230769230769231, Insert Fine Notification+complete=0.07692307692307693};NONALIGNING_ALL;{}
0.01;0.95;0.1;0.1;140;533;42;11;-1.0;{Add penalty+complete=0.7619047619047619, Payment+complete=0.14285714285714285, Notify Result Appeal to Offender+complete=0.047619047619047616, Receive Result Appeal from Prefecture+complete=0.047619047619047616};NONALIGNING_ALL;{}
0.01;0.95;0.1;0.1;23;381;38;5;-1.0;{};NONALIGNING_ALL;{}
0.01;0.95;0.1;0.1;68;381;39;5;-1.0;{};NONALIGNING_ALL;{}
0.01;0.95;0.1;0.1;143;495;47;6;-1.0;{Add penalty+complete=1.0};NONALIGNING_ALL;{}
0.01;0.95;0.1;0.1;82;570;42;5;-1.0;{Add penalty+complete=0.7058823529411765, Insert Fine Notification+complete=0.11764705882352941, Send Appeal to Prefecture+complete=0.11764705882352941, Insert Date Appeal to Prefecture+complete=0.058823529411764705};NONALIGNING_ALL;{}
0.01;0.9;0.1;0.1;260;695;39;5;-1.0;{Add penalty+complete=0.8333333333333334, Insert Date Appeal to Prefecture+complete=0.1111111111111111, Insert Fine Notification+complete=0.05555555555555555};NONALIGNING_ALL;{}
0.01;0.9;0.1;0.1;17;268;35;4;-1.0;{};NONALIGNING_ALL;{}
0.01;0.9;0.1;0.1;228;573;37;2;-1.0;{Add penalty+complete=0.8636363636363636, Insert Date Appeal to Prefecture+complete=0.045454545454545456, Insert Fine Notification+complete=0.045454545454545456, Send Appeal to Prefecture+complete=0.045454545454545456};NONALIGNING_ALL;{}
0.01;0.9;0.1;0.1;334;614;50;6;-1.0;{Add penalty+complete=0.8518518518518519, Payment+complete=0.07407407407407407, Send Appeal to Prefecture+complete=0.07407407407407407};NONALIGNING_ALL;{}
0.01;0.9;0.1;0.1;79;439;50;6;-1.0;{Add penalty+complete=0.8571428571428571, Insert Fine Notification+complete=0.14285714285714285};NONALIGNING_ALL;{}
0.01;0.9;0.1;0.1;138;428;36;2;-1.0;{Add penalty+complete=0.8571428571428571, Payment+complete=0.047619047619047616, Notify Result Appeal to Offender+complete=0.047619047619047616, Receive Result Appeal from Prefecture+complete=0.047619047619047616};NONALIGNING_ALL;{}
0.01;0.9;0.1;0.1;18;268;37;7;-1.0;{};NONALIGNING_ALL;{}
0.01;0.9;0.1;0.1;18;268;34;1;-1.0;{};NONALIGNING_ALL;{}
0.01;0.9;0.1;0.1;139;458;46;3;-1.0;{Add penalty+complete=1.0};NONALIGNING_ALL;{}
0.01;0.9;0.1;0.1;273;714;42;9;-1.0;{Add penalty+complete=0.68, Insert Fine Notification+complete=0.16, Send Appeal to Prefecture+complete=0.08, Insert Date Appeal to Prefecture+complete=0.04, Appeal to Judge+complete=0.04};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;827;1476;50;4;-1.0;{Add penalty+complete=0.9142857142857143, Insert Date Appeal to Prefecture+complete=0.05714285714285714, Appeal to Judge+complete=0.02857142857142857};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;1303;3208;74;6;-1.0;{Add penalty+complete=0.875, Insert Fine Notification+complete=0.0625, Send Appeal to Prefecture+complete=0.020833333333333332, Insert Date Appeal to Prefecture+complete=0.010416666666666666, Notify Result Appeal to Offender+complete=0.010416666666666666, Appeal to Judge+complete=0.010416666666666666, Receive Result Appeal from Prefecture+complete=0.010416666666666666};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;1286;3994;67;3;-1.0;{Add penalty+complete=0.8557692307692307, Insert Fine Notification+complete=0.057692307692307696, Send Appeal to Prefecture+complete=0.04807692307692308, Insert Date Appeal to Prefecture+complete=0.028846153846153848, Payment+complete=0.009615384615384616};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;1590;2780;82;7;-1.0;{Add penalty+complete=0.8113207547169812, Send Appeal to Prefecture+complete=0.08490566037735849, Insert Fine Notification+complete=0.04716981132075472, Insert Date Appeal to Prefecture+complete=0.018867924528301886, Notify Result Appeal to Offender+complete=0.018867924528301886, Payment+complete=0.009433962264150943, Receive Result Appeal from Prefecture+complete=0.009433962264150943};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;143;825;56;5;-1.0;{Add penalty+complete=0.9714285714285714, Insert Fine Notification+complete=0.02857142857142857};NONALIGNING_ALL;{}
